DoC_PD_ID,LICENSE_NO,PROFESSION_NAME,LICENSE_NAME,FIRST_NAME,LAST_NAME,SORT_NAME,FULL_NAME,AKA,NAME_SUFFIX,DATE_OF_BIRTH,SSN,ISSUE_DATE,EXPIRATION_DATE,LIC_STATUS,DATE_THIS_STATUS,ADDR_LINE_1,ADDR_LINE_2,ADDR_CITY,ADDR_STATE,ADDR_ZIPCODE,ADDR_COUNTY,ADDR_PHONE,ADDR_EMAIL,DATE_DECEASED,LICENSE_NAME2,DISCIPLINE,FEDERAL_ID
212,692092-1347,Pharmacy,Pharmacy Technician Trainee,Bryan,Phillips,"Phillips, Bryan",Bryan Phillips,,III,10/10/1990,,8/4/2016,8/4/2018,Active,8/4/2016,2415 Butters Ct,,Dunedin,UT,84045,,,,,Pharmacy Technician Trainee,N,
210,349447-1633,Pharmacy,Pharmacy Technician Trainee,Claire,Edstrom,"Edstrom, Claire",Claire Edstrom,,,5/14/1973,,8/4/2016,8/4/2018,Active,8/4/2016,128 E Dowlnington Ave,,Tooele,UT,84010,,,,,Pharmacy Technician Trainee,N,
209,338719-2719,Physician,Physician & Surgeon,Kathryn,Randall,"Randall, Kathryn",Kathryn Randall,,,4/15/1963,,8/3/2016,1/31/2018,Active,8/3/2016,801 N 50 W,,Lincoln,FL,34698,,,,,Physician & Surgeon,N,
200,459040-2381,Radiology,Radiology Practical Technician,Jenica,Chavez,"Chavez, Jenica",Jenica Chavez,,,8/7/1994,,8/18/2016,5/31/2019,Active,8/18/2016,1340 E 4750 S    No D2,,Park City,UT,84124,,,,,Radiology Practical Technician,N,
191,336760-1577,Pharmacy,Pharmacy Technician Trainee,Selena,Kurita,"Kurita, Selena",Selena Kurita,,,8/31/1976,,8/4/2016,8/4/2018,Active,8/4/2016,556 E 300 S #419,,San Diego,UT,84074,,,,,Pharmacy Technician Trainee,N,
190,401580-2839,Social Work,Certified Social Worker,Stacy,Jensen,"Jensen, Stacy",Stacy Jensen,,,5/13/1990,,8/8/2016,9/30/2018,Active,8/8/2016,20 W 1700 S ,,Salt Lake City,UT,84020,,,,,Certified Social Worker,N,
183,112485-2889,Nurse,Registered Nurse,Kelly,Batson,"Batson, Kelly",Kelly Batson,,,10/21/1987,,8/5/2016,1/31/2019,Active,8/5/2016,HC 82 Box 1346,,Carol Stream,UT,84102,,,,,Registered Nurse,N,
181,541389-1371,Pharmacy,Pharmacy Technician Trainee,John,McCann,"McCann, John",John McCann,,,3/4/1995,,8/4/2016,8/4/2018,Active,8/4/2016,29 Old PostRoad #2,,Sandy,UT,84044,,,,,Pharmacy Technician Trainee,N,
180,691555-3280,Physician Assistant,Physician Assistant,Hortencia,Evensen,"Evensen, Hortencia",Hortencia Evensen,,,5/30/1992,,8/9/2016,5/31/2018,Active,8/9/2016,2599 Garden Dr,,Provo,MN,55123,,,,,Physician Assistant,N,
180,235575-2432,Physician Assistant,Temporary Physician Assistant,Nicki,Robison,"Robison, Nicki",Nicki Robison,,,5/7/1991,,8/9/2016,12/7/2016,Superceded,8/9/2016,15132 Orchard View Dr,,Eagan,MN,55123,,,,,Temporary Physician Assistant,N,
178,626954-2479,Dietitian,Certified Dietitian,,Mishek,"Mishek, ", Mishek,,,4/26/1993,,8/5/2016,9/30/2018,Active,8/5/2016,2854 S Staunton Rd,,Murray,UT,84604,,,,,Certified Dietitian,N,
176,797304-1934,Respiratory Care,Respiratory Care Practitioner,Carilee,Lyons,"Lyons, Carilee",Carilee Lyons,,,9/3/1987,,8/22/2016,9/30/2018,Active,8/22/2016,255 N 140 E  UNIT 3001,,Eagan,UT,84660,,,,,Respiratory Care Practitioner,N,
175,989591-3309,Pharmacy,Pharmacy Technician Trainee,Kelsi,Silvy,"Silvy, Kelsi",Kelsi Silvy,,,5/22/2002,,8/5/2016,8/5/2018,Active,8/5/2016,135 South 500 West,,Logan,UT,84660,,,,,Pharmacy Technician Trainee,N,
170,963952-1575,Social Work,Certified Social Worker,Sara,Allan,"Allan, Sara",Sara Allan,,,8/2/1992,,8/10/2016,9/30/2018,Active,8/10/2016,2655 N 140 E  UNIT 301,,PRATTVILLE,UT,84321,,,,,Certified Social Worker,N,
165,255256-2076,Osteopathic Physician,Osteopathic Physician & Surgeon,Nicholas,Bauer,"Bauer, Nicholas",Nicholas Bauer,,,3/2/1982,,8/17/2016,5/31/2018,Active,8/17/2016,1153 Cedar Ave,,Huntington,UT,84321,,,,,Osteopathic Physician & Surgeon,N,
162,717464-3037,Pharmacy,Pharmacy Intern,,Dyson,"Dyson, ", Dyson,,,5/25/1993,,8/16/2016,8/16/2021,Active,8/16/2016,246 S 2875 W,,Sandy,UT,84102,,,,,Pharmacy Intern,N,
161,509442-2866,Pharmacy,Pharmacy Technician Trainee,Wendy,Cover,"Cover, Wendy",Wendy Cover,,,11/16/2001,,8/8/2016,8/8/2018,Active,8/8/2016,684 Pleasant Valley ,,Salt Lake City,UT,84043,,,,,Pharmacy Technician Trainee,N,
160,628203-1814,Nurse,Registered Nurse,Felicia,Gordon,"Gordon, Felicia",Felicia Gordon,,,2/9/1958,,8/11/2016,1/31/2019,Active,8/11/2016,9427 S Desert Willow Trail,,CRAIG,CA,95624,,,,,Registered Nurse,N,
158,388351-1828,Nurse,Registered Nurse,Christine,Yates,"Yates, Christine",Christine Yates,,,5/11/1977,,8/16/2016,1/31/2019,Active,8/16/2016,5129 W courtly Lane,,Provo,CA,92064,,,,,Registered Nurse,N,
152,450015-2814,Pharmacy,Pharmacy Technician Trainee,Carly,Smith,"Smith, Carly",Carly Smith,,,9/22/1999,,8/9/2016,8/9/2018,Active,8/9/2016,195 E Elk Trail,,Lehi,UT,84043,,,,,Pharmacy Technician Trainee,N,
149,745798-2648,Nurse,Registered Nurse,Michael,Shell,"Shell, Michael",Michael Shell,,,5/29/1958,,8/9/2016,1/31/2019,Active,8/9/2016,904 S Golda Ave,,Bountiful,IL,61401,,,,,Registered Nurse,N,
147,737817-1668,Pharmacy,Pharmacy Technician Trainee,Jamie,Kelley,"Kelley, Jamie",Jamie Kelley,,,4/17/1997,,8/8/2016,8/8/2018,Active,8/8/2016,1928 E Downington Ave,,Galesburg,UT,84121,,,,,Pharmacy Technician Trainee,N,
142,841365-1204,Pharmacy,Pharmacy Technician Trainee,Kathryn,Mahlan,"Mahlan, Kathryn",Kathryn Mahlan,,,9/30/1978,,8/8/2016,8/8/2018,Active,8/8/2016,PO BOX 683755,,Draper,UT,84621,,,,,Pharmacy Technician Trainee,N,
139,930976-3156,Physician,Physician & Surgeon,James,Chan,"Chan, James",James Chan,,,4/11/1976,,8/9/2016,1/31/2018,Active,8/9/2016,3042 MCKALL CIR,,Provo,UT,84720,,,,,Physician & Surgeon,N,
135,116957-2968,Physician,Physician & Surgeon,Katherine,Weldon,"Weldon, Katherine",Katherine Weldon,,,6/30/1964,,8/19/2016,1/31/2018,Active,8/19/2016,36 W 700 N #208,,Kansas City,CA,92124,,,,,Physician & Surgeon,N,
123,571835-3202,Pharmacy,Pharmacy Technician,Elmer,Ellis,"Ellis, Elmer",Elmer Ellis,,,4/8/1986,,8/11/2016,9/30/2017,Active,8/11/2016,4048 clubhouse Ln,,Cottonwood Heights,ID,83716,,,,,Pharmacy Technician,N,
120,194848-3139,Pharmacy,Pharmacy Technician Trainee,Rita,Borg,"Borg, Rita",Rita Borg,,,8/23/1999,,8/15/2016,8/15/2018,Active,8/15/2016,1249 Santa Clara Pkwy,,Provo,UT,84068,,,,,Pharmacy Technician Trainee,N,
116,390615-2935,Pharmacy,Dispensing Controlled Substance License,Hanna,Griggs,"Griggs, Hanna",Hanna Griggs,,,231,,8/17/2016,9/30/2017,Active,8/17/2016,7621 Brighton Wy,,Provo,OH,43041,,,,,Dispensing Controlled Substance License,N,
108,383659-2566,Nurse,Request  Authorization to Test - RN,Cameron,Keele,"Keele, Cameron",Cameron Keele,,,2/19/1993,,8/15/2016,9/14/2016,Approved,8/15/2016,6122 W Sahara Ave,,SALT LAKE CITY,UT,84088,,,,,Request  Authorization to Test - RN,N,
102,314532-2558,Nurse,Registered Nurse,Beverly,McMahon,"McMahon, Beverly",Beverly McMahon,,,10/19/1971,,8/15/2016,1/31/2019,Active,8/15/2016,476 Oleander Ct,,Roy,UT,84653,,,,,Registered Nurse,N,
98,14327-1427,Nurse,Registered Nurse,Kristina,Jenkins,"Jenkins, Kristina",Kristina Jenkins,,,10/8/1990,,8/19/2016,1/31/2019,Active,8/19/2016,20 W 1700 S Dorm D1,,WEST POINT,UT,84115,,,,,Registered Nurse,N,
78,419857-3239,Nurse,Registered Nurse,Michael,Seamons,"Seamons, Michael",Michael Seamons,,,12/2/1991,,8/19/2016,1/31/2019,Active,8/19/2016,4825 HWY 95 STE 2,,Sandy,UT,84108,,,,,Registered Nurse,N,
78,608221-1308,Nurse,Request  Authorization to Test - RN,,Lafleur,"Lafleur, ", Lafleur,,,12/19/1992,,8/12/2016,9/11/2016,Superceded,8/19/2016,6122 W Sahara Ave,,Santa Clara,UT,84108,,,,,Request  Authorization to Test - RN,N,
73,980367-2205,Pharmacy,Pharmacy Technician Trainee,Eric,Alte,"Alte, Eric",Eric Alte,,,4/16/2002,,8/11/2016,8/11/2018,Active,8/11/2016,633 S Harmony Ct,,Salt Lake City,UT,84660,,,,,Pharmacy Technician Trainee,N,
72,207909-2964,Nurse,Request  Authorization to Test - RN,Rachel,Clark,"Clark, Rachel",Rachel Clark,,,10/19/1997,,8/16/2016,9/15/2016,Superceded,8/23/2016,11660 Briarglen Dr,,Santaquin,UT,84790,,,,,Request  Authorization to Test - RN,N,
65,236927-2743,Nurse,Registered Nurse,Kari,Torres,"Torres, Kari",Kari Torres,,,11/27/1992,,8/12/2016,1/31/2019,Active,8/12/2016,185 S 200 E,,Highlands Ranch,CO,80111,,,,,Registered Nurse,N,
63,737874-2781,Physician,Physician/Surgeon CS,Rachel,Zelenkov,"Zelenkov, Rachel",Rachel Zelenkov,,Jr,8/11/1968,,8/15/2016,1/31/2018,Active,8/15/2016,720 OAKLEY ST,,Kansas City,AZ,86442,,,,,Physician/Surgeon CS,N,
57,334945-3031,Nurse,Registered Nurse,Tracy,Jordan,"Jordan, Tracy",Tracy Jordan,,,3/26/1990,,8/19/2016,1/31/2019,Active,8/19/2016,2001 E 1850 S,,Rock Springs,UT,84405,,,,,Registered Nurse,N,
55,863888-1583,Pharmacy,Pharmacist,Rachel,Valles,"Valles, Rachel",Rachel Valles,,,7/5/1987,,8/12/2016,9/30/2017,Active,8/12/2016,4015 Panorama Dr,,Salt Lake City,UT,84102,,,,,Pharmacist,N,
54,512257-1978,Pharmacy,Pharmacy - Class C,Bradley,Seamons,"Seamons, Bradley",Bradley Seamons,,,107,,8/17/2016,9/30/2017,Active,8/17/2016,2658 W 4900 S,,Salt Lake City,IL,60188,,,,,Pharmacy - Class C,N,
53,622182-2002,Nurse,Registered Nurse,Eric,Katz,"Katz, Eric",Eric Katz,,,11/13/1991,,8/16/2016,1/31/2019,Active,8/16/2016,1361 S 35 E,,LEHI,LA,71106,,,,,Registered Nurse,N,
51,820482-2620,Pharmacy,Pharmacy Technician Trainee,Patricia,Berggren,"Berggren, Patricia",Patricia Berggren,,,10/17/1993,,8/12/2016,8/12/2018,Active,8/12/2016,354 N 2300 W,,Salem,UT,84518,,,,,Pharmacy Technician Trainee,N,
40,493954-1944,Nurse,Registered Nurse,Sean,Wylie,"Wylie, Sean",Sean Wylie,,,2/18/1973,,8/16/2016,1/31/2019,Active,8/16/2016,5686 S Daffodil Pl,,Salt Lake City,UT,84121,,,,,Registered Nurse,N,
37,530500-2758,Occupational Therapy,Occupational Therapist,Carole,Seamons,"Seamons, Carole",Carole Seamons,,,12/28/1992,,8/17/2016,5/31/2019,Active,8/17/2016,1153 Cedar Ave,,Marysville,MO,64152,,,,,Occupational Therapist,N,
16,881593-2582,Physical Therapist,Physical Therapist,Sarah,Geis,"Geis, Sarah",Sarah Geis,,,1/8/1989,,8/16/2016,5/31/2019,Active,8/16/2016,1909 E 1050 S,,Spanish Fork,UT,84765,,,,,Physical Therapist,N,
15,259161-1260,Social Work,Social Service Worker,Lauren,Vetter,"Vetter, Lauren",Lauren Vetter,,,1/12/1990,,8/18/2016,9/30/2018,Active,8/18/2016,HC 64 PO BOX 21024,,Milwaukee,UT,84092,,,,,Social Service Worker,N,
7,588794-1664,Nurse,Registered Nurse,Alina,Kelley,"Kelley, Alina",Alina Kelley,,,5/2/1993,,8/16/2016,1/31/2019,Active,8/16/2016,JOHN MORAN EYE CTR,,SALT LAKE CITY,FL,32937,,,,,Registered Nurse,N,
2,389265-3166,Social Work,Social Service Worker,Ryan,Bloomfield,"Bloomfield, Ryan",Ryan Bloomfield,,,5/4/1991,,8/16/2016,9/30/2018,Active,8/16/2016,9307 Crowell Dr,,Farmington,UT,84655,,,,,Social Service Worker,N,
358,453444-2424,Pharmacy,Pharmacy Technician Trainee,Katrina,Barton,"Barton, Katrina",Katrina Barton,,,8/24/2001,,7/22/2016,7/22/2018,Active,7/22/2016,2654 Melville Dr,,SALT LAKE CITY,UT,84025,,,,,Pharmacy Technician Trainee,N,
355,241102-2525,Nurse,Request  Authorization to Test - LPN,Steven,Batson,"Batson, Steven",Steven Batson,,,10/9/1995,,7/29/2016,8/28/2016,Approved,7/29/2016,2655 N 140 E  UNIT 301,,Miller,UT,84627,,,,,Request  Authorization to Test - LPN,N,
354,336818-3383,Pharmacy,Pharmacy Technician Trainee,Lynn,Barker,"Barker, Lynn",Lynn Barker,,,12/26/1990,,7/22/2016,7/22/2018,Active,7/22/2016,123 S McClelland St Apt 3,,Salt Lake City,UT,84096,,,,,Pharmacy Technician Trainee,N,
351,866422-1511,Nurse,Registered Nurse,Jaqueline,Barney,"Barney, Jaqueline",Jaqueline Barney,,,5/28/1985,,8/10/2016,1/31/2019,Active,8/10/2016,7660 NW John Anders Road,,Barrington,UT,84604,,,,,Registered Nurse,N,
351,648815-1996,Nurse,Request  Authorization to Test - RN,Alfredo,Owens,"Owens, Alfredo",Alfredo Owens,,,4/9/1986,,7/26/2016,8/25/2016,Superceded,8/10/2016,6303 E Stanford Ave,,Akron,UT,84604,,,,,Request  Authorization to Test - RN,N,
348,191739-1209,Psychologist,Behavior Analyst,Paul,King,"King, Paul",Paul King,,,8/29/1988,,7/28/2016,9/30/2018,Active,7/28/2016,3566 Woodland Trl,,Lebanon,UT,84601,,,,,Behavior Analyst,N,
342,110933-3073,Pharmacy,Pharmacy Technician Trainee,Miranda,Sheffield,"Sheffield, Miranda",Miranda Sheffield,,,7/24/1997,,7/27/2016,7/27/2018,Active,7/27/2016,2660 S 8850 W,,Clearfield,UT,84016,,,,,Pharmacy Technician Trainee,N,
340,928208-2130,Pharmacy,Pharmacy Technician Trainee,Jordan,Fernelius,"Fernelius, Jordan",Jordan Fernelius,,,11/8/2000,,7/27/2016,7/27/2018,Active,7/27/2016,1120 W Utah Ave #302,,Las Vegas,UT,84016,,,,,Pharmacy Technician Trainee,N,
339,309936-1815,Pharmacy,Pharmacy Technician Trainee,Justin,Robins,"Robins, Justin",Justin Robins,,,5/10/1997,,7/26/2016,7/26/2018,Active,7/26/2016,25206 N Cayuga Trl,,ELKO,UT,84016,,,,,Pharmacy Technician Trainee,N,
338,777373-1335,Pharmacy,Pharmacy Technician Trainee,Talia,England,"England, Talia",Talia England,,,4/9/1995,,7/26/2016,7/26/2018,Active,7/26/2016,JOHN MORAN EYE CTR,,Grantsville,UT,84405,,,,,Pharmacy Technician Trainee,N,
107294,583523-1723,Nurse,Registered Nurse,Deborah,Blood,"Blood, Deborah",Deborah Blood,,,3/28/1972,,5/28/1998,1/31/2017,Active,1/31/2007,1986 E HUBBARD AVE,,Englewood,UT,84108,,,,,Registered Nurse,N,
107292,857888-1799,Physician,Physician & Surgeon,Ryan,Mitchell,"Mitchell, Ryan",Ryan Mitchell,,,2/8/1965,,6/24/1998,1/31/2018,Active,2/1/2002,4337 S 700 W,,Salt Lake City,UT,84132,,,,,Physician & Surgeon,N,
107292,547281-2483,Physician,Physician/Surgeon CS,Kimberly,Askins,"Askins, Kimberly",Kimberly Askins,,,8/12/1964,,6/24/1998,1/31/2018,Active,2/1/2002,177 E Salem Park Cir,,Boise,UT,84132,,,,,Physician/Surgeon CS,N,
107291,769639-2065,Nurse,Licensed Practical Nurse,Shanna,Ketts,"Ketts, Shanna",Shanna Ketts,,,6/6/1943,,5/27/1998,4/30/2000,Expired,1/8/2004,243 S 600 E,,Cleveland,UT,84107,,,,,Licensed Practical Nurse,N,
107285,222980-2917,Nurse,A.P.R.N. Intern,Bradley,Katz,"Katz, Bradley",Bradley Katz,,,1/25/1979,,5/29/2002,5/29/2003,Null and Void,7/15/2002,13012 New Jersey Ave,,Roy,UT,84106,,,,,A.P.R.N. Intern,N,
107284,117901-2531,Nurse,A.P.R.N. Controlled Substance,Jaicia,Bowen,"Bowen, Jaicia",Jaicia Bowen,,,8/15/1977,,7/15/2002,1/31/2004,Null and Void,2/10/2004,MCW Clinics @ Fec,,Eagle Mountain,NE,68506,,,,,A.P.R.N. Controlled Substance,N,
107282,457266-2845,Nurse,Registered Nurse,Lauren,Sanchez,"Sanchez, Lauren",Lauren Sanchez,,,10/11/1958,,5/28/1998,1/31/2001,Expired,1/9/2004,430 N 28 E ,,Cedar City,UT,84067,,,,,Registered Nurse,N,
107281,639513-2997,Physical Therapist,Physical Therapist,Jerry,Pike,"Pike, Jerry",Jerry Pike,,,10/25/1970,,7/2/1999,5/31/2009,Expired,5/31/2007,20 W 1700 S ,,Axtell,NV,89801,,,,,Physical Therapist,N,
107279,31336-1366,Social Work,Social Service Worker,Rachel,Nichols,"Nichols, Rachel",Rachel Nichols,,,11/18/1970,,6/12/1998,9/30/2016,Active,9/30/2010,1834 N Seminary ,,Elk Grove,UT,84116,,,,,Social Service Worker,N,
107277,262527-1649,Radiology,Radiologic Technologist,Renee,Gutierrez-Garcia,"Gutierrez-Garcia, Renee",Renee Gutierrez-Garcia,,,3/7/1977,,6/11/1998,5/31/2017,Active,3/17/1999,9875 S 500 W,,Saratoga Springs,CO,81626,,,,,Radiologic Technologist,N,
107270,539936-3095,Nurse,Certified Nurse Midwife,Aaron,Kubena,"Kubena, Aaron",Aaron Kubena,,,9/12/1972,,3/27/2001,1/31/2018,Active,1/31/2014,102 AUBURN RD,,Clearfield,AL,36067,,,,,Certified Nurse Midwife,N,
107268,299656-1809,Nurse,A.P.R.N. Intern,Nancy,Limb,"Limb, Nancy",Nancy Limb,,,12/13/1973,,5/7/2001,7/12/2001,Null and Void,1/7/2002,11251 Alejo Lane,,Ephraim,KS,66109,,,,,A.P.R.N. Intern,N,
107262,967672-1308,Physical Therapist,Physical Therapist,Heather,Krueger,"Krueger, Heather",Heather Krueger,,,10/14/1978,,5/14/2003,5/31/2017,Active,5/31/2011,1372 E Royal Troon Dr Apt 21,,Salt Lake City,UT,84043,,,,,Physical Therapist,N,
107261,569375-1581,Nurse,Licensed Practical Nurse,,Snarr,"Snarr, ", Snarr,,,8/20/1964,,6/1/1998,1/31/2012,Expired,2/1/2012,2272 E Loch Lomond Dr,,West Jordan,UT,84015,,,,,Licensed Practical Nurse,N,
107260,444704-3172,Social Work,Licensed Clinical Social Worker,REBECCA,Hodson,"Hodson, REBECCA",REBECCA Hodson,,,8/19/1970,,4/2/2015,9/30/2018,Active,4/2/2015,68 S 600 E,,Evanston,UT,84015,,,,,Licensed Clinical Social Worker,N,
107252,781981-1214,Physician,Physician/Surgeon CS,Calvin,Paas,"Paas, Calvin",Calvin Paas,,,8/6/1969,,7/23/1998,1/31/2014,Expired,2/3/2014,14210 Scottslawn Rd,,Sandy,WI,53226,,,,,Physician/Surgeon CS,N,
107250,669927-1331,Physician,Physician & Surgeon,Rain,Bender,"Bender, Rain",Rain Bender,,,7/27/1967,,6/16/1998,1/31/2008,Expired,2/1/2010,3422 E Oakledge Rd,,Washington Terrace,CO,80129,,,,,Physician & Surgeon,N,
107248,315317-1843,Nurse,A.P.R.N.,Karen,Sorenson,"Sorenson, Karen",Karen Sorenson,,,1/15/1979,,1/22/2003,1/31/2018,Active,1/31/2012,974 Ruben Ct ,,Provo,UT,84604,,,,,A.P.R.N.,N,
107248,452545-2776,Nurse,A.P.R.N. Controlled Substance,Christopher,Skare,"Skare, Christopher",Christopher Skare,,,11/8/1977,,1/22/2003,1/31/2018,Active,1/31/2012,1220 E WHITLOCK AVE,,Las Vegas,UT,84604,,,,,A.P.R.N. Controlled Substance,N,
107248,68813-1940,Nurse,C.N.M. Controlled Substance,Ezra,Schmidt,"Schmidt, Ezra",Ezra Schmidt,,,9/7/1977,,8/14/2003,1/31/2018,Active,8/14/2003,PO BOX 92,,CLEARFIELD,UT,84604,,,,,C.N.M. Controlled Substance,N,
107244,914641-2422,Pharmacy,Pharmacy - Class D,Justin,Keele,"Keele, Justin",Justin Keele,,, ,,6/24/1998,5/31/2001,Surrendered,1/25/2000,9875 S 500 W,,Los Angeles,NV,891023051,,,,,Pharmacy - Class D,N,
107244,36598-2187,Pharmacy,Dispensing Controlled Substance License,Hortencia,Robbins,"Robbins, Hortencia",Hortencia Robbins,,, ,,6/24/1998,5/31/2001,Surrendered,1/25/2000,1720 West 620 South,,Bullhead City,NV,891023051,,,,,Dispensing Controlled Substance License,N,
107243,614570-2145,Nurse,Registered Nurse,,Martinez,"Martinez, ", Martinez,,,5/11/1970,,6/28/2000,1/31/2003,Expired,2/4/2005,361 W 4900 S #9,,Eagle Mountain,UT,84117,,,,,Registered Nurse,N,
107240,925201-2460,Dental,Dentist Controlled Substance,Chelsea,Silva,"Silva, Chelsea",Chelsea Silva,,,9/18/1969,,6/4/1998,5/31/2018,Active,5/31/2006,1734 S 48th St,,Magna,UT,84092,,,,,Dentist Controlled Substance,N,
107238,682306-2088,Pharmacy,Pharmacy Technician,Robert,Clark,"Clark, Robert",Robert Clark,,,5/12/1964,,6/1/1998,9/30/2017,Active,5/3/1999,1441 W 8780 S,,Salt Lake City,UT,84010,,,,,Pharmacy Technician,N,
